"Instance_number numeric","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
4913,397,244,630,11216,0.053183,0.619345,0.386563,0.619345,0.613437,0.476019,0.082246,7.530436,0.907369
4914,397,244,629,11217,0.053098,0.619345,0.38694,0.619345,0.61306,0.476305,0.082165,7.537776,0.907583
4915,396,245,629,11217,0.053098,0.617785,0.386341,0.617785,0.613659,0.47539,0.082085,7.526125,0.90811
4916,395,246,629,11217,0.053098,0.616225,0.385742,0.616225,0.614258,0.474474,0.082005,7.51445,0.90862
4917,395,246,628,11218,0.053014,0.616225,0.386119,0.616225,0.613881,0.47476,0.081925,7.521796,0.909566
4918,395,246,627,11219,0.052929,0.616225,0.386497,0.616225,0.613503,0.475045,0.081845,7.529156,0.909895
4919,393,248,625,11221,0.05276,0.613105,0.386051,0.613105,0.613949,0.473779,0.081525,7.520468,0.91078
4920,393,248,624,11222,0.052676,0.613105,0.386431,0.613105,0.613569,0.474065,0.081445,7.527863,0.913574
4921,393,248,623,11223,0.052592,0.613105,0.386811,0.613105,0.613189,0.474351,0.081365,7.535272,0.914661
4922,393,248,622,11224,0.052507,0.613105,0.387192,0.613105,0.612808,0.474638,0.081285,7.542696,0.915278
4923,392,249,622,11224,0.052507,0.611544,0.386588,0.611544,0.613412,0.473716,0.081204,7.530923,0.916086
4924,391,250,620,11226,0.052338,0.609984,0.386746,0.609984,0.613254,0.473366,0.080964,7.534001,0.917056
4925,391,250,619,11227,0.052254,0.609984,0.387129,0.609984,0.612871,0.473652,0.080884,7.541461,0.917472
4926,391,250,618,11228,0.05217,0.609984,0.387512,0.609984,0.612488,0.473939,0.080804,7.548935,0.919836
4927,390,251,618,11228,0.05217,0.608424,0.386905,0.608424,0.613095,0.473014,0.080724,7.537098,0.919881
4928,389,252,618,11228,0.05217,0.606864,0.386296,0.606864,0.613704,0.472087,0.080644,7.525238,0.921569
4929,389,252,617,11229,0.052085,0.606864,0.38668,0.606864,0.61332,0.472374,0.080564,7.532718,0.921843
4930,388,253,614,11232,0.051832,0.605304,0.387226,0.605304,0.612774,0.472307,0.080243,7.543347,0.922841
4931,388,253,611,11235,0.051579,0.605304,0.388388,0.605304,0.611612,0.473171,0.080003,7.566,0.923043
4932,388,253,609,11237,0.05141,0.605304,0.389168,0.605304,0.610832,0.473748,0.079843,7.581177,0.92338
4933,387,254,608,11238,0.051325,0.603744,0.388945,0.603744,0.611055,0.473105,0.079683,7.576837,0.924582
4934,387,254,607,11239,0.051241,0.603744,0.389336,0.603744,0.610664,0.473394,0.079603,7.58446,0.924585
4935,387,254,606,11240,0.051157,0.603744,0.389728,0.603744,0.610272,0.473684,0.079523,7.592098,0.9252
4936,387,254,605,11241,0.051072,0.603744,0.390121,0.603744,0.609879,0.473974,0.079443,7.599751,0.925401
4937,387,254,601,11245,0.050734,0.603744,0.3917,0.603744,0.6083,0.475138,0.079122,7.630519,0.92583
4938,384,257,596,11250,0.050312,0.599064,0.391837,0.599064,0.608163,0.473782,0.078482,7.633175,0.926324
4939,384,257,595,11251,0.050228,0.599064,0.392237,0.599064,0.607763,0.474074,0.078402,7.640972,0.926353
4940,384,257,594,11252,0.050144,0.599064,0.392638,0.599064,0.607362,0.474367,0.078321,7.648785,0.926887
4941,384,257,593,11253,0.050059,0.599064,0.39304,0.599064,0.60696,0.47466,0.078241,7.656614,0.92759
4942,384,257,592,11254,0.049975,0.599064,0.393443,0.599064,0.606557,0.474954,0.078161,7.664459,0.929554
4943,383,258,586,11260,0.049468,0.597504,0.395253,0.597504,0.604747,0.475776,0.077601,7.699723,0.930035
4944,383,258,585,11261,0.049384,0.597504,0.395661,0.597504,0.604339,0.476072,0.077521,7.707677,0.930416
4945,383,258,582,11264,0.049131,0.597504,0.396891,0.597504,0.603109,0.476961,0.07728,7.731639,0.931926
4946,382,259,582,11264,0.049131,0.595944,0.396266,0.595944,0.603734,0.476012,0.0772,7.719451,0.932748
4947,382,259,581,11265,0.049046,0.595944,0.396677,0.595944,0.603323,0.476309,0.07712,7.727467,0.933202
4948,381,260,581,11265,0.049046,0.594384,0.39605,0.594384,0.60395,0.475359,0.07704,7.71525,0.933652
4949,380,261,581,11265,0.049046,0.592824,0.395421,0.592824,0.604579,0.474407,0.07696,7.703007,0.93375
4950,380,261,574,11272,0.048455,0.592824,0.398323,0.592824,0.601677,0.476489,0.076399,7.759528,0.93481
4951,379,262,574,11272,0.048455,0.591264,0.397692,0.591264,0.602308,0.475533,0.076319,7.747229,0.935236
4952,379,262,573,11273,0.048371,0.591264,0.398109,0.591264,0.601891,0.475832,0.076239,7.755367,0.935487
4953,379,262,572,11274,0.048286,0.591264,0.398528,0.591264,0.601472,0.476131,0.076159,7.763522,0.935527
4954,379,262,571,11275,0.048202,0.591264,0.398947,0.591264,0.601053,0.47643,0.076079,7.771694,0.935774
4955,378,263,563,11283,0.047527,0.589704,0.4017,0.589704,0.5983,0.477876,0.075358,7.825323,0.936523
4956,378,263,562,11284,0.047442,0.589704,0.402128,0.589704,0.597872,0.478178,0.075278,7.833648,0.936523
4957,378,263,561,11285,0.047358,0.589704,0.402556,0.589704,0.597444,0.478481,0.075198,7.84199,0.93707
4958,377,264,561,11285,0.047358,0.588144,0.401919,0.588144,0.598081,0.477517,0.075118,7.829582,0.937352
4959,377,264,560,11286,0.047273,0.588144,0.402348,0.588144,0.597652,0.47782,0.075038,7.837938,0.937876
4960,377,264,555,11291,0.046851,0.588144,0.404506,0.588144,0.595494,0.479339,0.074638,7.879987,0.938364
4961,377,264,554,11292,0.046767,0.588144,0.404941,0.588144,0.595059,0.479644,0.074558,7.888451,0.93858
4962,377,264,553,11293,0.046682,0.588144,0.405376,0.588144,0.594624,0.479949,0.074477,7.896934,0.938675
4963,377,264,551,11295,0.046514,0.588144,0.40625,0.588144,0.59375,0.480561,0.074317,7.913953,0.939412
4964,377,264,550,11296,0.046429,0.588144,0.406688,0.588144,0.593312,0.480867,0.074237,7.92249,0.939454
4965,377,264,549,11297,0.046345,0.588144,0.407127,0.588144,0.592873,0.481174,0.074157,7.931046,0.939481
4966,377,264,546,11300,0.046092,0.588144,0.408451,0.588144,0.591549,0.482097,0.073917,7.956824,0.941561
4967,377,264,545,11301,0.046007,0.588144,0.408894,0.588144,0.591106,0.482406,0.073837,7.965454,0.941624
4968,377,264,543,11303,0.045838,0.588144,0.409783,0.588144,0.590217,0.483024,0.073677,7.98277,0.94164
4969,376,265,543,11303,0.045838,0.586583,0.40914,0.586583,0.59086,0.482051,0.073597,7.970259,0.941889
4970,375,266,543,11303,0.045838,0.585023,0.408497,0.585023,0.591503,0.481078,0.073516,7.95772,0.942227
4971,375,266,542,11304,0.045754,0.585023,0.408942,0.585023,0.591058,0.481386,0.073436,7.966398,0.942277
4972,374,267,542,11304,0.045754,0.583463,0.408297,0.583463,0.591703,0.480411,0.073356,7.953828,0.942374
4973,374,267,539,11307,0.045501,0.583463,0.409639,0.583463,0.590361,0.481338,0.073116,7.979964,0.942551
4974,373,268,530,11316,0.044741,0.581903,0.413068,0.581903,0.586932,0.483161,0.072315,8.046762,0.944486
4975,373,268,529,11317,0.044656,0.581903,0.413525,0.581903,0.586475,0.483474,0.072235,8.055683,0.946346
4976,372,269,529,11317,0.044656,0.580343,0.412875,0.580343,0.587125,0.48249,0.072155,8.043003,0.947154
4977,372,269,525,11321,0.044319,0.580343,0.414716,0.580343,0.585284,0.483745,0.071835,8.078869,0.947175
4978,372,269,524,11322,0.044234,0.580343,0.415179,0.580343,0.584821,0.48406,0.071755,8.087886,0.947254
4979,372,269,523,11323,0.04415,0.580343,0.415642,0.580343,0.584358,0.484375,0.071675,8.096923,0.947377
4980,372,269,522,11324,0.044066,0.580343,0.416107,0.580343,0.583893,0.484691,0.071594,8.10598,0.948448
4981,372,269,521,11325,0.043981,0.580343,0.416573,0.580343,0.583427,0.485007,0.071514,8.115057,0.948857
4982,371,270,521,11325,0.043981,0.578783,0.415919,0.578783,0.584081,0.484018,0.071434,8.102315,0.949001
4983,371,270,520,11326,0.043897,0.578783,0.416386,0.578783,0.583614,0.484334,0.071354,8.111409,0.94952
4984,370,271,520,11326,0.043897,0.577223,0.41573,0.577223,0.58427,0.483344,0.071274,8.098635,0.950107
4985,369,272,520,11326,0.043897,0.575663,0.415073,0.575663,0.584927,0.482353,0.071194,8.085832,0.950133
4986,369,272,519,11327,0.043812,0.575663,0.415541,0.575663,0.584459,0.482668,0.071114,8.094937,0.950536
4987,367,274,519,11327,0.043812,0.572543,0.414221,0.572543,0.585779,0.480681,0.070954,8.069236,0.95069
4988,367,274,516,11330,0.043559,0.572543,0.415629,0.572543,0.584371,0.481627,0.070714,8.096651,0.95157
4989,367,274,515,11331,0.043475,0.572543,0.4161,0.572543,0.5839,0.481944,0.070633,8.105831,0.952031
4990,367,274,514,11332,0.04339,0.572543,0.416572,0.572543,0.583428,0.48226,0.070553,8.115032,0.9536
4991,367,274,513,11333,0.043306,0.572543,0.417045,0.572543,0.582955,0.482577,0.070473,8.124254,0.953846
4992,367,274,511,11335,0.043137,0.572543,0.417995,0.572543,0.582005,0.483213,0.070313,8.14276,0.954244
4993,367,274,510,11336,0.043053,0.572543,0.418472,0.572543,0.581528,0.483531,0.070233,8.152045,0.954823
4994,366,275,510,11336,0.043053,0.570983,0.417808,0.570983,0.582192,0.482531,0.070153,8.139113,0.954873
4995,366,275,509,11337,0.042968,0.570983,0.418286,0.570983,0.581714,0.48285,0.070073,8.148415,0.955656
4996,365,276,509,11337,0.042968,0.569423,0.41762,0.569423,0.58238,0.481848,0.069993,8.135449,0.955742
4997,364,277,509,11337,0.042968,0.567863,0.416953,0.567863,0.583047,0.480845,0.069913,8.122453,0.955751
4998,364,277,507,11339,0.042799,0.567863,0.41791,0.567863,0.58209,0.481481,0.069753,8.141104,0.958169
