"Instance_number","'True Positives'","'False Negatives'","'False Positives'","'True Negatives'","'False Positive Rate'","'True Positive Rate'","Precision","Recall","Fallout","FMeasure","'Sample Size'","Lift","Threshold"
76,928,205,2336,17221,0.119446,0.819064,0.284314,0.819064,0.715686,0.422106,0.157757,5.191925,0.012797
77,928,205,2333,17224,0.119292,0.819064,0.284575,0.819064,0.715425,0.422394,0.157612,5.196701,0.0128
78,927,206,2333,17224,0.119292,0.818182,0.284356,0.818182,0.715644,0.422035,0.157564,5.192694,0.012807
79,927,206,2328,17229,0.119037,0.818182,0.284793,0.818182,0.715207,0.422516,0.157322,5.20067,0.012819
80,927,206,2325,17232,0.118883,0.818182,0.285055,0.818182,0.714945,0.422805,0.157177,5.205468,0.012839
81,927,206,2323,17234,0.118781,0.818182,0.285231,0.818182,0.714769,0.422998,0.157081,5.208671,0.012856
82,927,206,2322,17235,0.11873,0.818182,0.285319,0.818182,0.714681,0.423094,0.157032,5.210274,0.012861
83,927,206,2320,17237,0.118628,0.818182,0.285494,0.818182,0.714506,0.423288,0.156936,5.213484,0.012895
84,927,206,2319,17238,0.118576,0.818182,0.285582,0.818182,0.714418,0.423384,0.156887,5.21509,0.012897
85,927,206,2318,17239,0.118525,0.818182,0.28567,0.818182,0.71433,0.423481,0.156839,5.216697,0.01291
86,927,206,2316,17241,0.118423,0.818182,0.285846,0.818182,0.714154,0.423675,0.156742,5.219914,0.012917
87,927,206,2315,17242,0.118372,0.818182,0.285935,0.818182,0.714065,0.423771,0.156694,5.221524,0.012924
88,927,206,2312,17245,0.118219,0.818182,0.286199,0.818182,0.713801,0.424062,0.156549,5.226361,0.012948
89,927,206,2311,17246,0.118167,0.818182,0.286288,0.818182,0.713712,0.424159,0.156501,5.227975,0.012962
90,927,206,2308,17249,0.118014,0.818182,0.286553,0.818182,0.713447,0.424451,0.156356,5.232823,0.012964
91,927,206,2306,17251,0.117912,0.818182,0.286731,0.818182,0.713269,0.424645,0.156259,5.23606,0.012984
92,927,206,2305,17252,0.117861,0.818182,0.286819,0.818182,0.713181,0.424742,0.156211,5.23768,0.013
93,927,206,2301,17256,0.117656,0.818182,0.287175,0.818182,0.712825,0.425132,0.156017,5.24417,0.013005
94,927,206,2300,17257,0.117605,0.818182,0.287264,0.818182,0.712736,0.425229,0.155969,5.245795,0.013022
95,927,206,2299,17258,0.117554,0.818182,0.287353,0.818182,0.712647,0.425327,0.155921,5.247422,0.013029
96,927,206,2297,17260,0.117452,0.818182,0.287531,0.818182,0.712469,0.425522,0.155824,5.250677,0.013032
97,927,206,2296,17261,0.1174,0.818182,0.28762,0.818182,0.71238,0.42562,0.155776,5.252306,0.01306
98,927,206,2295,17262,0.117349,0.818182,0.287709,0.818182,0.712291,0.425718,0.155727,5.253936,0.013071
