"Instance_number numeric","True Positives","False Negatives","False Positives","True Negatives","False Positive Rate","True Positive Rate","Precision","Recall","Fallout","FMeasure","Sample Size","Lift","Threshold"
528,290,351,494,11352,0.041702,0.452418,0.369898,0.452418,0.630102,0.407018,0.062785,7.205797,0.410653
529,290,351,493,11353,0.041617,0.452418,0.37037,0.452418,0.62963,0.407303,0.062705,7.215,0.447287
530,290,351,492,11354,0.041533,0.452418,0.370844,0.452418,0.629156,0.40759,0.062625,7.224226,0.460161
531,290,351,491,11355,0.041449,0.452418,0.371319,0.452418,0.628681,0.407876,0.062545,7.233476,0.466877
532,290,351,490,11356,0.041364,0.452418,0.371795,0.452418,0.628205,0.408163,0.062465,7.24275,0.497792
533,290,351,489,11357,0.04128,0.452418,0.372272,0.452418,0.627728,0.408451,0.062385,7.252047,0.572573
534,289,352,489,11357,0.04128,0.450858,0.371465,0.450858,0.628535,0.407329,0.062305,7.236329,0.579621
535,289,352,487,11359,0.041111,0.450858,0.372423,0.450858,0.627577,0.407904,0.062145,7.25498,0.584069
536,289,352,485,11361,0.040942,0.450858,0.373385,0.450858,0.626615,0.408481,0.061984,7.273726,0.592137
537,287,354,485,11361,0.040942,0.447738,0.371762,0.447738,0.628238,0.406228,0.061824,7.242103,0.594162
538,285,356,485,11361,0.040942,0.444618,0.37013,0.444618,0.62987,0.403969,0.061664,7.210315,0.616402
539,284,357,483,11363,0.040773,0.443058,0.370274,0.443058,0.629726,0.403409,0.061424,7.213118,0.626481
540,284,357,482,11364,0.040689,0.443058,0.370757,0.443058,0.629243,0.403696,0.061344,7.222535,0.627823
541,284,357,478,11368,0.040351,0.443058,0.372703,0.443058,0.627297,0.404847,0.061023,7.260449,0.803616
542,284,357,477,11369,0.040267,0.443058,0.373193,0.443058,0.626807,0.405136,0.060943,7.269989,0.806645
543,283,358,477,11369,0.040267,0.441498,0.372368,0.441498,0.627632,0.403997,0.060863,7.253923,0.812269
544,281,360,477,11369,0.040267,0.438378,0.370712,0.438378,0.629288,0.401716,0.060703,7.221663,0.816979
545,278,363,476,11370,0.040182,0.433697,0.3687,0.433697,0.6313,0.398566,0.060383,7.182465,0.829591
546,276,365,476,11370,0.040182,0.430577,0.367021,0.430577,0.632979,0.396267,0.060223,7.149758,0.83938
547,275,366,476,11370,0.040182,0.429017,0.366178,0.429017,0.633822,0.395115,0.060143,7.133339,0.839809
548,275,366,475,11371,0.040098,0.429017,0.366667,0.429017,0.633333,0.395399,0.060062,7.14285,0.93249
549,275,366,474,11372,0.040014,0.429017,0.367156,0.429017,0.632844,0.395683,0.059982,7.152386,0.949739
550,274,367,474,11372,0.040014,0.427457,0.36631,0.427457,0.63369,0.394528,0.059902,7.135905,0.962461
551,274,367,473,11373,0.039929,0.427457,0.366801,0.427457,0.633199,0.394813,0.059822,7.145458,0.970891
552,273,368,473,11373,0.039929,0.425897,0.365952,0.425897,0.634048,0.393655,0.059742,7.128923,0.995065
553,248,393,437,11409,0.03689,0.386895,0.362044,0.386895,0.637956,0.374057,0.054857,7.052794,0.995146
554,221,420,406,11440,0.034273,0.344774,0.352472,0.344774,0.647528,0.34858,0.050212,6.866332,0.995431
555,197,444,367,11479,0.030981,0.307332,0.349291,0.307332,0.650709,0.326971,0.045167,6.804359,0.995738
556,170,471,323,11523,0.027267,0.265211,0.344828,0.265211,0.655172,0.299824,0.039481,6.717414,0.995793
557,142,499,277,11569,0.023383,0.221529,0.338902,0.221529,0.661098,0.267925,0.033555,6.601983,0.995997
558,113,528,229,11617,0.019331,0.176287,0.330409,0.176287,0.669591,0.229908,0.027388,6.436539,0.996626
559,86,555,172,11674,0.01452,0.134165,0.333333,0.134165,0.666667,0.191324,0.020661,6.4935,0.996626
560,56,585,120,11726,0.01013,0.087363,0.318182,0.087363,0.681818,0.137087,0.014095,6.198341,0.996919
561,28,613,60,11786,0.005065,0.043682,0.318182,0.043682,0.681818,0.076818,0.007047,6.198341,0.997039
562,0,641,0,11846,0,0,0,0,0,0,0,?,0.997049
