@relation 'mouseFeatures-weka.filters.unsupervised.attribute.Remove-R1-3,5-11'

@attribute clickthroughs numeric
@attribute relevance {bad,good}

@data
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0.25,good
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0.138889,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0.25,good
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0.138889,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0.138889,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0.138889,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0.25,good
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0.5,good
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0.166667,good
0,bad
0,bad
0,bad
0,bad
0,bad
0.166667,good
0,bad
0,bad
0,bad
0,bad
0,bad
0.166667,good
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0.333333,good
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0.333333,good
0,bad
0,bad
0,bad
0,bad
0.5,bad
1,good
0,bad
1,good
0.5,bad
0,bad
0,bad
0.266667,bad
0.055556,bad
0.083333,bad
0.027056,bad
0.090909,bad
0,bad
0.025,bad
0.008333,bad
0.092938,bad
0,bad
0,bad
0,bad
0,bad
0.045455,bad
0.0675,bad
0.066667,bad
0.052632,bad
0,bad
0,bad
0.152529,bad
0,bad
0.125,bad
0,bad
0,bad
0,bad
0,bad
0.065789,bad
0.266667,bad
0.055556,bad
0.083333,bad
0.027056,bad
0.090909,bad
0,bad
0.025,bad
0.008333,bad
0.092938,bad
0,bad
0,bad
0,bad
0,bad
0.045455,bad
0.0675,bad
0.066667,bad
0.052632,bad
0,bad
0,bad
0.152529,bad
0,bad
0.125,bad
0,bad
0,bad
0,bad
0,bad
0.065789,bad
0.266667,bad
0.055556,bad
0.083333,bad
0.027056,bad
0.090909,bad
0,bad
0.025,bad
0.008333,bad
0.092938,bad
0,bad
0,bad
0,bad
0,bad
0.045455,bad
0.0675,bad
0.066667,bad
0.052632,bad
0,bad
0,bad
0.152529,bad
0,bad
0.125,bad
0,bad
0,bad
0,bad
0,bad
0.065789,bad
0.266667,bad
0.055556,bad
0.083333,bad
0.027056,bad
0.090909,bad
0,bad
0.025,bad
0.008333,bad
0.092938,bad
0,bad
0,bad
0,bad
0,bad
0.045455,bad
0.0675,bad
0.066667,bad
0.052632,bad
0,bad
0,bad
0.152529,bad
0,bad
0.125,bad
0,bad
0,bad
0,bad
0,bad
0.065789,bad
1,good
0,bad
0.166667,bad
0.027778,bad
0,bad
0,bad
0.166667,bad
0.016667,bad
0.038462,bad
0.097826,bad
0,bad
0,bad
0,bad
0.188679,good
0,bad
0,bad
0,bad
0,bad
1,bad
1,bad
0,bad
0.333333,bad
1,bad
0,bad
1,bad
1,bad
1,bad
0,bad
1,bad
1,bad
1,bad
0,bad
1,bad
1,bad
0,bad
1,bad
0,bad
1,bad
1,bad
1,bad
0,bad
0,bad
0.5,bad
1,good
0.5,good
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0.055556,bad
0,bad
0,bad
0.039216,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0.141026,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0.12,bad
0,bad
0.152493,bad
0,bad
0.031746,bad
0,bad
0.071333,bad
0,bad
0.206349,good
0,bad
0.472222,bad
0,bad
0,bad
0.75,bad
0,bad
0.013333,bad
0.057692,bad
0,bad
0,bad
0.076923,bad
0.051282,bad
0.5,bad
0.071429,bad
0,bad
0.16129,bad
1,bad
0,bad
0,bad
0,bad
0.022222,bad
0.034106,bad
0.025641,bad
0,bad
0.166667,bad
0.082031,bad
0,bad
0,bad
0.12,bad
0,bad
0.152493,bad
0,bad
0.031746,bad
0,bad
0.071333,bad
0,bad
0.206349,good
0,bad
0.472222,bad
0,bad
0,bad
0.75,bad
0,bad
0.013333,bad
0.057692,bad
0,bad
0,bad
0.076923,bad
0.051282,bad
0.5,bad
0.071429,bad
0,bad
0.16129,bad
1,bad
0,bad
0,bad
0,bad
0.022222,bad
0.034106,bad
0.025641,bad
0,bad
0.166667,bad
0.082031,bad
0,bad
0,bad
0,bad
0,good
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
1,bad
1,good
0,bad
1,bad
1,good
0.333333,good
0,bad
0,bad
0,bad
0,bad
0,bad
1,bad
1,good
0,bad
1,good
0,bad
0,bad
0,good
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,good
0,bad
0,bad
0,bad
0,bad
0.111111,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,good
0,bad
0,bad
0,bad
0,bad
0.111111,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,good
0,bad
0,bad
0,bad
0,bad
0.111111,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,good
0,bad
0,bad
0,bad
0,bad
0.111111,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,good
0,bad
0,bad
0,bad
0,bad
0.111111,bad
1,bad
0,bad
0.014706,bad
0,bad
0.05,bad
0,bad
0,bad
0.061728,bad
0,bad
0,bad
0.045455,bad
0,bad
0,bad
0,bad
0,bad
0.25,bad
0,bad
0,bad
0,bad
0.083333,bad
0,bad
0,bad
0,bad
0,bad
0.25,bad
0,bad
0,bad
0,bad
0.083333,bad
0,bad
0,bad
0,bad
0,bad
0.25,bad
0,bad
0,bad
0,bad
0.083333,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
1,good
0.5,good
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0.25,bad
0,bad
0,bad
0,bad
0,bad
0.25,bad
0,bad
0,bad
0,bad
0,bad
0,bad
0.25,bad
0,bad
0,bad
0,bad
0,bad
0.25,bad
0,bad
0,bad
0,bad
0,bad
0.5,good
0,bad
0,bad
0,bad
0,bad
0,bad
0.5,good
0,bad
0,bad
0,bad
0,bad
0,bad
1,bad
1,bad
0,bad
